Epoch 381, current loss (training) 0.0151, current loss (val) 0.0152
Epoch 382, current loss (training) 0.0145, current loss (val) 0.0155
Epoch 383, current loss (training) 0.0152, current loss (val) 0.0156
Epoch 384, current loss (training) 0.0150, current loss (val) 0.0155
Epoch 385, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 386, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 387, current loss (training) 0.0142, current loss (val) 0.0153
Epoch 388, current loss (training) 0.0152, current loss (val) 0.0155
Epoch 389, current loss (training) 0.0145, current loss (val) 0.0152
Epoch 390, current loss (training) 0.0152, current loss (val) 0.0159
Epoch 391, current loss (training) 0.0148, current loss (val) 0.0151
Epoch 392, current loss (training) 0.0151, current loss (val) 0.0157
Epoch 393, current loss (training) 0.0142, current loss (val) 0.0152
Epoch 394, current loss (training) 0.0140, current loss (val) 0.0152
Epoch 395, current loss (training) 0.0147, current loss (val) 0.0152
Epoch 396, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 397, current loss (training) 0.0151, current loss (val) 0.0153
Epoch 398, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 399, current loss (training) 0.0143, current loss (val) 0.0152
Epoch 400, current loss (training) 0.0146, current loss (val) 0.0157
Epoch 401, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 402, current loss (training) 0.0149, current loss (val) 0.0159
Epoch 403, current loss (training) 0.0146, current loss (val) 0.0154
Epoch 404, current loss (training) 0.0150, current loss (val) 0.0155
Epoch 405, current loss (training) 0.0141, current loss (val) 0.0151
Epoch 406, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 407, current loss (training) 0.0150, current loss (val) 0.0159
Epoch 408, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 409, current loss (training) 0.0152, current loss (val) 0.0161
Epoch 410, current loss (training) 0.0148, current loss (val) 0.0156
Epoch 411, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 412, current loss (training) 0.0149, current loss (val) 0.0154
